state,resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_total_nightskiing_ac,state_total_terrain_parks,state_population,state_area_sq_miles
Alaska,3,2280,345,580,4,731545,665384
Arizona,2,1577,237,80,6,7278717,113990
California,21,25948,2738,587,81,39512223,163695
Colorado,22,43682,3258,428,74,5758736,104094
Connecticut,5,358,353,256,10,3565278,5543
Idaho,12,16396,1136,415,27,1787065,83569
Illinois,4,191,221,191,6,12671821,57914
Indiana,2,165,157,165,4,6732219,36420
Iowa,3,140,100,140,5,3155070,56273
Maine,9,3216,865,388,17,1344212,35380
Maryland,1,172,121,118,3,6045680,12406
Massachusetts,11,1166,671,583,18,6892503,10554
Michigan,28,4406,2389,1946,63,9986857,96714
Minnesota,14,1560,1490,1020,29,5639632,86936
Missouri,2,60,69,47,2,6137428,69707
Montana,12,21410,951,710,27,1068778,147040
Nevada,4,2110,415,0,9,3080156,110572
New Hampshire,16,3427,1847,376,43,1359711,9349
New Jersey,2,190,170,181,4,8882190,8723
New Mexico,9,5223,966,50,18,2096829,121590
New York,33,5514,2384,2836,72,19453561,54555
North Carolina,6,370,506,335,9,10488084,53819
Ohio,5,421,489,421,12,11689100,44826
Oregon,10,11774,1180,1127,22,4217737,98379
Pennsylvania,19,1888,1404,1528,47,12801989,46054
Rhode Island,1,30,100,30,1,1059361,1545
South Dakota,2,950,183,0,3,884659,77116
Tennessee,1,0,83,0,1,6829174,42144
Utah,13,30508,1544,642,26,3205958,84897
Vermont,15,7239,1777,50,50,623989,9616
Virginia,4,269,366,135,4,8535519,42775
Washington,10,15330,1022,1997,21,7614893,71298
West Virginia,4,542,342,187,9,1792147,24230
Wisconsin,15,1750,1519,1065,40,5822434,65496
Wyoming,8,6523,716,110,14,578759,97813
